,address,bds,cost
232,"Mezzo Design Lofts | 30 Caldwell St, Charlestown, MA",2 bd,"$4,262+"
233,"AVA Back Bay | 790 Boylston St, Boston, MA",Studio,"$3,225+"
234,"AVA Back Bay | 790 Boylston St, Boston, MA",1 bd,"$3,990+"
235,"AVA Back Bay | 790 Boylston St, Boston, MA",2 bd,"$6,085+"
236,"AVA Back Bay | 790 Boylston St, Boston, MA",3 bd,"$8,660+"
237,"80 Fuller Street, 80 Fuller St, Dorchester Center, MA 02124",3 bds,"$4,500+/mo"
238,"Gardner Terrace, 9 Gardner Ter, Allston, MA 02134",3 bds,"$4,200+/mo"
239,"Ora Seaport | 899 Congress St, Boston, MA",Studio,"$2,926+"
240,"Ora Seaport | 899 Congress St, Boston, MA",1 bd,"$3,992+"
241,"Ora Seaport | 899 Congress St, Boston, MA",2 bd,"$5,298+"
242,"Ora Seaport | 899 Congress St, Boston, MA",3 bd,"$7,513+"
243,"16-18 Highgate, 16 Highgate St #303, Allston, MA 02134",2 bds,"$3,895/mo"
244,"Trac 75 | 75 Braintree St, Allston, MA",Studio,"$3,115+"
245,"Trac 75 | 75 Braintree St, Allston, MA",1 bd,"$3,000+"
246,"Trac 75 | 75 Braintree St, Allston, MA",2 bd,"$4,130+"
247,"BLDG 89 | 89 Brighton Ave, Allston, MA",1 bd,"$3,347+"
248,"The Bennington, 917 Bennington St #206, Boston, MA 02128",2 bds,"$3,200/mo"
249,"The Brookliner | 5 Washington St, Brighton, MA",Studio,"$3,332+"
250,"The Brookliner | 5 Washington St, Brighton, MA",1 bd,"$3,384+"
251,"The Brookliner | 5 Washington St, Brighton, MA",2 bd,"$4,498+"
252,"80 Sutherland | 80 Sutherland Rd, Brighton, MA",1 bd,"$2,400+"
253,"80 Sutherland | 80 Sutherland Rd, Brighton, MA",2 bd,"$2,750+"
254,"Westland Avenue | 66 Westland Ave, Boston, MA",1 bd,"$2,151+"
255,"Westland Avenue | 66 Westland Ave, Boston, MA",2 bd,"$2,850+"
256,"100 Pier 4 | 100 Pier 4 Blvd, Boston, MA",Studio,"$3,252+"
257,"100 Pier 4 | 100 Pier 4 Blvd, Boston, MA",1 bd,"$3,778+"
258,"100 Pier 4 | 100 Pier 4 Blvd, Boston, MA",2 bd,"$4,492+"
259,"1-6 Ashford Court, 1 Ashford Ct #505, Allston, MA 02134",1 bd,"$3,500/mo"
260,"The Eddy | 10 New St, Boston, MA",Studio,"$2,622+"
261,"The Eddy | 10 New St, Boston, MA",1 bd,"$3,058+"
262,"The Eddy | 10 New St, Boston, MA",2 bd,"$3,997+"
263,"Park Lane Seaport | 1 Park Ln, Boston, MA",Studio,"$3,239+"
264,"Park Lane Seaport | 1 Park Ln, Boston, MA",1 bd,"$3,515+"
265,"Park Lane Seaport | 1 Park Ln, Boston, MA",2 bd,"$4,079+"
266,"The Colonnade Residences | 118 Huntington Ave, Boston, MA",2 bd,"$7,200+"
267,"Alcott | 35 Lomasney Way, Boston, MA",1 bd,"$3,685+"
268,"Alcott | 35 Lomasney Way, Boston, MA",2 bd,"$5,230+"
269,"David at 775, 775 Morton St, Mattapan, MA 02126",2 bds,"$2,950+/mo"
270,"3-15 Carol Avenue, 3 Carol Ave #15-10, Brighton, MA 02135",2 bds,"$3,095/mo"
271,"The Smith | 89 E Dedham St, Boston, MA",Studio,"$3,279+"
272,"The Smith | 89 E Dedham St, Boston, MA",1 bd,"$3,480+"
273,"The Smith | 89 E Dedham St, Boston, MA",2 bd,"$5,015+"
274,"The Smith | 89 E Dedham St, Boston, MA",3 bd,"$7,868+"
275,"30 Dalton | 30 Dalton St, Boston, MA",1 bd,"$4,236+"
276,"30 Dalton | 30 Dalton St, Boston, MA",2 bd,"$7,095+"
277,"30 Dalton | 30 Dalton St, Boston, MA",3 bd,"$27,208+"
278,"Zero Athens | 35 W 2nd St, Boston, MA",Studio,"$2,650+"
279,"Zero Athens | 35 W 2nd St, Boston, MA",1 bd,"$2,850+"
280,"The Indie | 35-43 Braintree St, Allston, MA",Studio,"$2,583+"
281,"The Indie | 35-43 Braintree St, Allston, MA",1 bd,"$3,388+"
282,"The Indie | 35-43 Braintree St, Allston, MA",2 bd,"$4,551+"
283,"The Indie | 35-43 Braintree St, Allston, MA",3 bd,"$5,300+"
