address,bds,cost,distance_neu,distance_harvard,distance_mit,distance_bu
"65 Chiswick Rd | 65 Chiswick Rd, Brighton, MA",2,2600,5.8 km,4.3 km,6.8 km,3.5 km
"ONE52 - Luxury Apartments | 152 Liverpool St, Boston, MA",1,2750,7.8 km,11.6 km,6.5 km,7.3 km
"ONE52 - Luxury Apartments | 152 Liverpool St, Boston, MA",2,3350,7.8 km,11.6 km,6.5 km,7.3 km
"LUKA on the Common | 45 Stuart St, Boston, MA",Studio,3230,2.8 km,7.6 km,4.1 km,3.5 km
"LUKA on the Common | 45 Stuart St, Boston, MA",1,3650,2.8 km,7.6 km,4.1 km,3.5 km
"LUKA on the Common | 45 Stuart St, Boston, MA",2,4720,2.8 km,7.6 km,4.1 km,3.5 km
"Eleven West | 11 W Broadway, Boston, MA",1,3150,3.8 km,9.1 km,7.0 km,7.8 km
"Eleven West | 11 W Broadway, Boston, MA",2,3937,3.8 km,9.1 km,7.0 km,7.8 km
"660 Washington | 660 Washington St, Boston, MA",Studio,3210,4.5 km,8.7 km,6.1 km,6.9 km
"660 Washington | 660 Washington St, Boston, MA",1,3505,4.5 km,8.7 km,6.1 km,6.9 km
"660 Washington | 660 Washington St, Boston, MA",2,5360,4.5 km,8.7 km,6.1 km,6.9 km
"660 Washington | 660 Washington St, Boston, MA",3,6398,4.5 km,8.7 km,6.1 km,6.9 km
"Castle Square Apartments, 484 Tremont St #72, Boston, MA 02116",1,2805,3.2 km,7.3 km,4.6 km,3.9 km
"Waterside Place by Windsor | 505 Congress St, Boston, MA",1,3335,5.2 km,9.5 km,7.7 km,8.5 km
"Waterside Place by Windsor | 505 Congress St, Boston, MA",2,4205,5.2 km,9.5 km,7.7 km,8.5 km
"345 Harrison | 345 Harrison Ave, Boston, MA",Studio,2899,2.5 km,7.5 km,4.5 km,3.5 km
"345 Harrison | 345 Harrison Ave, Boston, MA",1,3580,2.5 km,7.5 km,4.5 km,3.5 km
"345 Harrison | 345 Harrison Ave, Boston, MA",2,5255,2.5 km,7.5 km,4.5 km,3.5 km
"The Metlo | 399 Congress St, Boston, MA",Studio,2869,5.1 km,9.8 km,7.3 km,8.1 km
"The Metlo | 399 Congress St, Boston, MA",1,3856,5.1 km,9.8 km,7.3 km,8.1 km
"The Metlo | 399 Congress St, Boston, MA",2,5523,5.1 km,9.8 km,7.3 km,8.1 km
"The Metlo | 399 Congress St, Boston, MA",3,5648,5.1 km,9.8 km,7.3 km,8.1 km
"1197 Commonwealth | 1197 Commonwealth Ave, Allston, MA",Studio,2000,4.5 km,2.0 km,4.4 km,1.1 km
"1197 Commonwealth | 1197 Commonwealth Ave, Allston, MA",1,2450,4.5 km,2.0 km,4.4 km,1.1 km
"1197 Commonwealth | 1197 Commonwealth Ave, Allston, MA",2,2950,4.5 km,2.0 km,4.4 km,1.1 km
"1197 Commonwealth | 1197 Commonwealth Ave, Allston, MA",3,4260,4.5 km,2.0 km,4.4 km,1.1 km
"1082 Commonwealth Ave | 1082 Commonwealth Ave, Boston, MA",1,2800,11.4 km,5.4 km,11.7 km,4.9 km
"1082 Commonwealth Ave | 1082 Commonwealth Ave, Boston, MA",2,3300,11.4 km,5.4 km,11.7 km,4.9 km
"Radian | 120 Kingston St, Boston, MA",1,3771,4.4 km,8.5 km,6.0 km,6.8 km
"Radian | 120 Kingston St, Boston, MA",2,5203,4.4 km,8.5 km,6.0 km,6.8 km
"Radian | 120 Kingston St, Boston, MA",3,7079,4.4 km,8.5 km,6.0 km,6.8 km
"The Victor by Windsor | 110 Beverly St, Boston, MA",Studio,3085,6.1 km,10.3 km,3.4 km,4.6 km
"The Victor by Windsor | 110 Beverly St, Boston, MA",1,3325,6.1 km,10.3 km,3.4 km,4.6 km
"The Victor by Windsor | 110 Beverly St, Boston, MA",2,4615,6.1 km,10.3 km,3.4 km,4.6 km
"Gardner Court Apartments, 72 Gardner St #F1, Allston, MA 02134",4,4395,6.2 km,2.6 km,5.4 km,1.2 km
"735 Truman Apartments, 735 Truman Pkwy, Hyde Park, MA 02136",1,2510,10.8 km,14.7 km,15.1 km,12.6 km
"Girard | 50 Malden St, Boston, MA",1,3150,2.1 km,9.6 km,7.5 km,3.3 km
"Girard | 50 Malden St, Boston, MA",2,3835,2.1 km,9.6 km,7.5 km,3.3 km
"Hub50House | 50 Causeway St, Boston, MA",Studio,3248,4.9 km,8.7 km,3.1 km,4.4 km
"Hub50House | 50 Causeway St, Boston, MA",1,3815,4.9 km,8.7 km,3.1 km,4.4 km
"Hub50House | 50 Causeway St, Boston, MA",2,4971,4.9 km,8.7 km,3.1 km,4.4 km
"112 Jersey ST. | 112 Jersey St, Boston, MA",Studio,2400,0.8 km,6.1 km,2.9 km,1.1 km
"112 Jersey ST. | 112 Jersey St, Boston, MA",1,2700,0.8 km,6.1 km,2.9 km,1.1 km
"112 Jersey ST. | 112 Jersey St, Boston, MA",2,3850,0.8 km,6.1 km,2.9 km,1.1 km
"Diamond Fenway | 9 Miner St, Boston, MA",1,3400,1.9 km,2.8 km,3.2 km,0.7 km
"Diamond Fenway | 9 Miner St, Boston, MA",2,4800,1.9 km,2.8 km,3.2 km,0.7 km
"Pierce Boston | 200 Brookline Ave, Boston, MA",Studio,4142,1.6 km,3.1 km,3.5 km,1.0 km
"Pierce Boston | 200 Brookline Ave, Boston, MA",1,4412,1.6 km,3.1 km,3.5 km,1.0 km
"Pierce Boston | 200 Brookline Ave, Boston, MA",2,8083,1.6 km,3.1 km,3.5 km,1.0 km
"Pierce Boston | 200 Brookline Ave, Boston, MA",3,10129,1.6 km,3.1 km,3.5 km,1.0 km
"656 Saratoga Street | 656 Saratoga St, Boston, MA",1,2700,9.4 km,14.4 km,8.0 km,8.8 km
"656 Saratoga Street | 656 Saratoga St, Boston, MA",2,3500,9.4 km,14.4 km,8.0 km,8.8 km
"212 Stuart | 212 Stuart St, Boston, MA",1,4540,2.7 km,7.7 km,4.0 km,3.4 km
"212 Stuart | 212 Stuart St, Boston, MA",2,7195,2.7 km,7.7 km,4.0 km,3.4 km
"212 Stuart | 212 Stuart St, Boston, MA",3,22510,2.7 km,7.7 km,4.0 km,3.4 km
"Troy Boston | 55 Traveler St, Boston, MA",Studio,2785,3.1 km,8.7 km,6.7 km,7.5 km
"Troy Boston | 55 Traveler St, Boston, MA",1,3350,3.1 km,8.7 km,6.7 km,7.5 km
"Troy Boston | 55 Traveler St, Boston, MA",2,4065,3.1 km,8.7 km,6.7 km,7.5 km
"Emerson Place | 1 Emerson Pl, Boston, MA",Studio,2710,4.5 km,8.3 km,2.9 km,4.0 km
