address,bds,cost,distance_neu,distance_harvard,distance_mit,distance_bu,lat,lng
"Gables Seaport | 501 Congress St, Boston, MA",2,5255,5.3 km,9.6 km,7.8 km,8.6 km,42.3486455,-71.0421303
"65 Chiswick Rd | 65 Chiswick Rd, Brighton, MA",1,2400,5.8 km,4.3 km,6.8 km,3.5 km,42.3397735,-71.1495546
"65 Chiswick Rd | 65 Chiswick Rd, Brighton, MA",2,2600,5.8 km,4.3 km,6.8 km,3.5 km,42.3397735,-71.1495546
"ONE52 - Luxury Apartments | 152 Liverpool St, Boston, MA",1,2750,7.8 km,11.6 km,6.5 km,7.3 km,42.3733886,-71.0401856
"ONE52 - Luxury Apartments | 152 Liverpool St, Boston, MA",2,3350,7.8 km,11.6 km,6.5 km,7.3 km,42.3733886,-71.0401856
"LUKA on the Common | 45 Stuart St, Boston, MA",Studio,3230,2.8 km,7.6 km,4.1 km,3.5 km,42.35119470000001,-71.0640159
"LUKA on the Common | 45 Stuart St, Boston, MA",1,3650,2.8 km,7.6 km,4.1 km,3.5 km,42.35119470000001,-71.0640159
"LUKA on the Common | 45 Stuart St, Boston, MA",2,4720,2.8 km,7.6 km,4.1 km,3.5 km,42.35119470000001,-71.0640159
"Eleven West | 11 W Broadway, Boston, MA",1,3150,3.8 km,9.1 km,7.0 km,7.8 km,42.3423981,-71.056951
"Eleven West | 11 W Broadway, Boston, MA",2,3937,3.8 km,9.1 km,7.0 km,7.8 km,42.3423981,-71.056951
"660 Washington | 660 Washington St, Boston, MA",Studio,3210,4.5 km,8.7 km,6.1 km,6.9 km,42.3517112,-71.0625762
"660 Washington | 660 Washington St, Boston, MA",1,3505,4.5 km,8.7 km,6.1 km,6.9 km,42.3517112,-71.0625762
"660 Washington | 660 Washington St, Boston, MA",2,5360,4.5 km,8.7 km,6.1 km,6.9 km,42.3517112,-71.0625762
"660 Washington | 660 Washington St, Boston, MA",3,6398,4.5 km,8.7 km,6.1 km,6.9 km,42.3517112,-71.0625762
"Castle Square Apartments, 484 Tremont St #72, Boston, MA 02116",1,2805,3.2 km,7.3 km,4.6 km,3.9 km,42.3459157,-71.0690664
"Waterside Place by Windsor | 505 Congress St, Boston, MA",1,3335,5.2 km,9.5 km,7.7 km,8.5 km,42.3480404,-71.04120379999999
"Waterside Place by Windsor | 505 Congress St, Boston, MA",2,4205,5.2 km,9.5 km,7.7 km,8.5 km,42.3480404,-71.04120379999999
"345 Harrison | 345 Harrison Ave, Boston, MA",Studio,2899,2.5 km,7.5 km,4.5 km,3.5 km,42.3451015,-71.0643061
"345 Harrison | 345 Harrison Ave, Boston, MA",1,3580,2.5 km,7.5 km,4.5 km,3.5 km,42.3451015,-71.0643061
"345 Harrison | 345 Harrison Ave, Boston, MA",2,5255,2.5 km,7.5 km,4.5 km,3.5 km,42.3451015,-71.0643061
"The Metlo | 399 Congress St, Boston, MA",Studio,2869,5.1 km,9.8 km,7.3 km,8.1 km,42.3490324,-71.0450524
"The Metlo | 399 Congress St, Boston, MA",1,3856,5.1 km,9.8 km,7.3 km,8.1 km,42.3490324,-71.0450524
"The Metlo | 399 Congress St, Boston, MA",2,5523,5.1 km,9.8 km,7.3 km,8.1 km,42.3490324,-71.0450524
"The Metlo | 399 Congress St, Boston, MA",3,5648,5.1 km,9.8 km,7.3 km,8.1 km,42.3490324,-71.0450524
"1197 Commonwealth | 1197 Commonwealth Ave, Allston, MA",Studio,2000,4.5 km,2.0 km,4.4 km,1.1 km,42.3509546,-71.1295849
"1197 Commonwealth | 1197 Commonwealth Ave, Allston, MA",1,2450,4.5 km,2.0 km,4.4 km,1.1 km,42.3509546,-71.1295849
"1197 Commonwealth | 1197 Commonwealth Ave, Allston, MA",2,2950,4.5 km,2.0 km,4.4 km,1.1 km,42.3509546,-71.1295849
"1197 Commonwealth | 1197 Commonwealth Ave, Allston, MA",3,4260,4.5 km,2.0 km,4.4 km,1.1 km,42.3509546,-71.1295849
"1082 Commonwealth Ave | 1082 Commonwealth Ave, Boston, MA",1,2800,11.4 km,5.4 km,11.7 km,4.9 km,42.340154,-71.1656705
"1082 Commonwealth Ave | 1082 Commonwealth Ave, Boston, MA",2,3300,11.4 km,5.4 km,11.7 km,4.9 km,42.340154,-71.1656705
"Radian | 120 Kingston St, Boston, MA",1,3771,4.4 km,8.5 km,6.0 km,6.8 km,42.3522845,-71.0590994
"Radian | 120 Kingston St, Boston, MA",2,5203,4.4 km,8.5 km,6.0 km,6.8 km,42.3522845,-71.0590994
"Radian | 120 Kingston St, Boston, MA",3,7079,4.4 km,8.5 km,6.0 km,6.8 km,42.3522845,-71.0590994
